id,通用名称,药品名称,注意事项,注意事项关系
98,草酸艾司西酞普兰片,,抗抑郁剂不适用于儿童和18岁以下的青少年。在儿童和18岁以下的青少年的临床试验中，发现本品组发生与自杀相关的行为（自杀企图和自杀观念）和敌意（攻击性，对抗行为和易怒）的频率高于安慰剂组。即使是为了临床试验，仍需密切监测患者的自杀表现。下列的特殊警告和慎用适用于各种SSRI类药物。矛盾性焦虑一些惊恐障碍患者在接受抗抑郁药物治疗初期，可能会加重焦虑症状，这种矛盾性反应通常会在治疗开始后的两周内逐渐减轻。建议降低起始剂量可以减少药物的这种致焦虑效应。癫痫发作出现癫痫发作的患者应停止用药。SSR类药物应避免用于不稳定的癫痫发作患者，应该对已经得到控制的癫痫发作患者在治疗期间进行监测。如果癫痫发作频率增加，应该停用SSRI类药物。躁狂SSR类药物应慎用于有躁狂或轻躁狂发作史的患者。转为躁狂发作的患者应停止使用SSR1类药物。糖尿病对于糖尿病患者，使用SSRI类药物治疗可能会影响对血糖的调节。使用胰岛素和戚口服降糖药的患者，需要调整这些药物的剂量。自杀抑郁症本身固有症状可能出现自杀企图，并会一直持续，直至自发或治疗而发生显著改善。对使用抗抑郁剂的患者应进行密切监测，特别是治疗初期，以防症状恶化和/或发生自杀（自杀观念和行为）。当治疗抑郁伴发的其它精神障碍时，也应进行此类预防。低钠血症罕有使用SSR类药物出现低钠血症（可能是由于抗利尿激素的异常分泌引起的）的报告，通常在停止药物治疗后症状缓解。有这类危险的患者如老年人、肝硬化患者或合并已知可以引起低钠血症的药物时，应注意。出血有使用SSRI类药物发生皮下出血的报告，如瘀斑和紫癜。建议在下列人群中使用SSRI类药物应谨慎，包括合并使用口服抗凝剂的患者、或者合并使用已知对血小板功能有影响的药物（如非典型抗精神病药物和吩噻嗪类药物、大部分三环类抗抑郁药物、乙酰水杨酸和非甾体抗炎药物、噻氯匹定和双嘧达莫）和已知有出血倾向的患者。电抽搐治疗(ECT)目前关于台用SSRI类药物和电抽搐治疗只有有限的临床经验，因此，建议慎重。可逆性，选择性MAO_A抑制剂一般不推荐本品与MAO_A抑制剂台用，因为可能存在5-羟色胺综合征的危险。与非选择性、不可逆性MAO抑制剂的合并使用见药物相互作用项。5-羟色胺综合征建议本品与5-羟色胺能药物（如舒马曲坦或其它曲坦类药物、曲马多和色氢酸）合用时应谨慎。有罕见病例报告合并使用SSRI类药物和5-羟色胺能药物治疗时出现了5-羟色胺综合征。合并后如果出现了下述症状，如激越、震颤、肌阵挛和高热等，提示可能发生了5-羟色胺综合征。如果出现这种问题，应立即停用SSRI和5-羟色胺能药物，并给予对症治疗。圣约翰草合并使用SSRI类药物和含有圣约翰草（金丝桃素）的中草药可能会增加不良反应的发生。停药症状停止本品治疗时，建议在1-2周内逐渐停药，以避免发生停药症状。对驾驶及操作机器能力的影响尽管研究显示本品不影响智力水平和精神运动性操作，但任何精神活性药物都可能影响判断和技能。患者应注意可能影响驾驶汽车和操作机器能力的潜在危险性。请置于儿童不易拿到处。,儿童-不适用，18岁以下的青少年-不适用，矛盾性焦虑-慎用，癫痫-慎用，躁狂-慎用，轻躁狂-慎用，糖尿病-慎用，自杀-慎用，静坐不能-慎用，精神运动不安-慎用，低钠血症-慎用，出血-慎用，电抽搐-慎用，可逆性MAO_A抑制剂-慎用，选择性MAO_A抑制剂-慎用，可逆性、选择性MAO_A抑制剂-慎用，5-羟色胺-慎用，驾车-停用，操作机器-停用
99,盐酸帕罗西汀片,,）。,
100,盐酸舍曲林分散片,,（1）闭角型青光眼、癫痫病、严重心脏病患者慎用。（2）肝肾功能不全者慎用或减少用量。（3）出现转向躁狂发作倾向时应立即停药。（4）用药期间不宜驾驶车辆、操作机械或高空作业。,闭角型青光眼-慎用，癫痫病-慎用，严重心脏病-慎用，肝肾功能不全-慎用，躁狂发作-停用，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜
101,盐酸氟西汀分散片,,5.MAOI-B（司来吉兰）5-羟色胺综合征风险，建议临床监查。6.苯妥英钠当与氟西汀合用时已发现血药浓度发生变化。在一些病倒中已有毒性反应报道。如果需要合用此药物，建议采用保守的剂量调整策略并监查临床状态。7.5-羟色胺激动剂本品与5-羟色胺激动剂（例如曲马多、加5-羟色胺综合征的风险。与曲坦类药物合用增加冠状动脉血管收缩和高血压的风险。8.锂盐和色氨酸有报告指出，锂盐或色氨酸与SSRI合用时，可出现5-羟色胺综合征。当本品与这些药物合用时应十分小心。当氟西汀与锂盐合用时，需要更加细致和频繁的监查等。,5-羟色胺激动剂—注意
102,盐酸氟西汀片,,"因本药半衰期较长，故肝、肾功能较差或老年病人，应适当减少剂量。妊娠或哺乳妇女慎用。儿童应用时应遵医嘱，,如出现皮疹或发热，应立即停药，并对症处理。不宜与单胺氧化酶抑制剂(MAOI)并用；必要时，应停用本药5周后，才可换用单胺氧化酶抑制剂(MAOI)。",肝、肾功能较差-减量，老年病人-减量，肝功能较差-减量，肾功能较差-减量，妊娠-慎用，哺乳妇女-慎用，皮疹-停用，发热-停用，单胺氧化酶抑制剂(MAOI)-不宜
103,安乐片(荆江源),,1.少吃生冷及油腻难消化的食品。2.服药期间要保持情绪乐观，切忌生气恼怒。3.孕妇慎用。4.火郁证者不适用，主要表现为口苦咽干、面色红赤、心中烦热、胁胀不眠、大便秘结。5.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。6.服药3天症状无缓解，应去医院就诊。7.儿童、年老体弱者应在医师指导下服用。8.对本品过敏者禁用，过敏体质者慎用。9.本品性状发生改变时禁止使用。10.儿童必须在成人监护下使用。11.请将本品放在儿童不能接触的地方。12.如正在使用其他药品，使用本品前请咨询医师或药师。,孕妇-慎用，火郁证-不适用，口苦咽干-不适用，面色红赤-不适用，心中烦热-不适用，胁胀不眠-不适用，大便秘结-不适用
104,盐酸氟西汀胶囊,,，出血)电抽搐治疗(ECT)服用氟西汀的患者接受电抽搐治疗时惊厥时间延长的情况鲜有报道，但也须谨慎。酒精在正规试验中，百优解不升高血中乙醇水平或增强乙醇作用。然而，在SSRI治疗的同时饮酒是不可取的。圣.约翰草同其它SSRI一样，百优解和草药圣.约翰草(贯叶连翘)可能发生药效学相互作用，这会导致不良反应增加。,
105,盐酸安非他酮片,,1.本品不可与其它含有盐酸安非他酮的药物联合使用。2.癫痫。安非他酮的推荐剂量为不超过300mg/d，450～600mg/d的癫痫发生率会增长近十倍。可见癫痫的发生与剂量有明显的相关性。突然给药或增大剂量均会增加癫痫的发生，可在治疗过程中发生，也可在获得稳定剂量后的几周后出现。此外，许多因素均可导致癫痫发作的可能性增加，因此应用安非他酮时还应考虑到个体因素、临床情况以及协同用药等情况。3.易怒和失眠。服用安非他酮的部分患者会出现躁动不安、易怒、焦虑和失眠，特别是开始治疗后不久。临床研究中，这些症状有时需要镇定药/催眠药治疗。2%的患者症状严重到需要停用安非他酮。4.目前没有安非他酮对心肌损伤或心脏疾病的患者安全用量的临床经验，因此，这群患者应慎用。有体位性低血压病史，正在接受三环类抗抑郁药治疗的抑郁症患者能很好的耐受安非他酮。36例充血性心衰的住院病人也是如此。但是，安非他酮会导致充血性心衰患者仰卧位血压升高，2例患者因远高于基线血压而出组。5.肝损坏的患者慎用。重度肝硬化的患者应用安非他酮时应极其谨慎，要减少药量和用药次数，这部分患者服用本品时，最大剂量不超过75,盐酸安非他酮-禁忌，心肌损伤-慎用，心脏疾病-慎用，肝损坏-慎用，肝硬化-慎用
106,盐酸曲唑酮片,,1．执行有潜在危险任务（如开车或开机器）者，用药期间须加小心。?2．盐酸曲唑酮应在餐后服用，禁食条件或空腹服药可能会使头晕或头昏增加。?3．盐酸曲唑酮和全麻药的相互作用了解甚少，因而在择期手术前，盐酸曲唑酮应在临床许可的情况下尽?早停用。?4．服用盐酸曲唑酮的病人偶尔会出现白细胞总数和中性粒细胞计数减低，若白细胞计数低于正常值范?围，则应该停药观察。对于在治疗期间出现发热或咽喉疼痛或其他感染症状的病人，建议检查白细胞及分类计数。?5．癫痫患者、肝肾功能不良者慎用。?,白细胞总数-检查，中性粒细胞计数-检查，癫痫-慎用，肝肾功能不良-慎用
107,氢溴酸西酞普兰片,,1.停药反应上市后使用本品、其他SNRIs和SSRIs陆续有一些停药后不良事件自发的报道，尤其在突然停药时常可见情绪烦躁、易怒、激越、头昏、感觉异常（电击感）、焦虑、意识模糊、头痛、懒散、情绪不稳定、失眠、轻躁狂、耳鸣和癫痫发作等。以上表现一般为自限性，也有严重停药反应的报道。当患者停用本品时，应注意监测这些可能出现的停药症状。推荐逐渐减量，避免突然停药。如果在减药和停药过程中出现难以耐受的症状时，可以考虑恢复至先前治疗剂量，随后医生再以更慢的速度减药。2.异常出血已有使用SSRIs时出现皮下出血时间和/或出血异常的报告，例如，瘀斑、妇科出血、肠胃出血和其他皮肤或黏膜出血。在服用SSRIs（特别是合并使用已知会影响血小板功能的活性物质或可能增加出血风险的其他活性物质）的患者中以及在具有出血性疾病史的患者中需谨慎使用。3.低钠血症罕有使用SSRI类药物出现低钠血症的报告，可能是由抗利尿激素（SIADH）的异常分泌引起，通常会在治疗终止时恢复正常。特别是老年女性患者可能易发生此类风险。4.静坐不能/精神运动性不安SSRIs/SNRIs的使用已被认为与静坐不能的形成有关，其特点是主观上不愉快或令人不安的躁动，需要不停运动，并且不能安静地坐立。这在治疗的头几周内最可能出现。在患有这些症状的患者中，增加剂量可能是有害的。5.躁狂躁狂抑郁症的患者可能转为躁狂发作。转为躁狂发作的患者应停止使用本品。6.癫痫发作癫痫是使用抗抑郁药物时的一个潜在风险。癫痫发作的患者应该停止使用本品。在患有不稳定性癫痫症的患者中应该避免使用本品，对癫痫已经得到控制的患者应该仔细监控。如果癫痫发作频率增加，则应停止使用本品。7.糖尿病在患有糖尿病的患者中，使用某种SSRI进行治疗可能会改变血糖控制。可能需要对胰岛素和/或口服降糖药的剂量进行调整。8.ECT（电休克疗法）同时给予SSRIs和ECT治疗的临床经验有限，因此，应予谨慎。9.圣约翰草在合并使用本品和含有圣约翰草（贯叶连翘）的草药制剂期间，不良反应可能更常见。因此，不应同时服用本品和圣约翰草制剂。10.精神疾病本品治疗具有抑郁发作的精神疾病患者可能会增加精神疾病症状。应在医生指导下用药。11.辅料（根据各家辅料成分酌情添加此项内容）本品辅料中含有乳糖一水合物。罕见发生遗传性半乳糖不耐受问题，有乳糖酶缺乏症或对葡萄糖-半乳糖吸收不良的患者勿使用本品。12.对驾驶及操作机器能力的影响本品对开车和使用机器的能力具有轻度或中度的影响。精神药品可以降低判断能力和对紧急情况的反应能力。应该告知患者这些影响，并警告他们其开车或操作机器的能力可能会受到影响。13.请置于儿童不易拿到处。,出血-慎用，静坐不能-慎用，精神运动性不安-慎用，躁狂发作-停用，癫痫-停用，乳糖酶缺乏-慎用，葡萄糖吸收不良-慎用，半乳糖吸收不良-慎用，开车-不宜，操作机器-不宜
